name,year,selling_price,km_driven,fuel,transmission
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Manual
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Manual
Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Manual
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Manual
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Manual
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Manual
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Manual
Maruti 800 DX BSII,2001,45000,5000,Petrol,Manual
Toyota Etios VXD,2011,350000,90000,Diesel,Manual
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Manual
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Manual
Maruti Zen LX,2005,92000,100000,Petrol,Manual
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Manual
Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Manual
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Manual
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Manual
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Manual
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Manual
Maruti Alto LX,2002,150000,80000,Petrol,Manual
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Manual
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Manual
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Manual
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Manual
Maruti SX4 ZDI,2012,600000,72000,Diesel,Manual
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Manual
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Manual
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Manual
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Manual
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Manual
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Manual
